id	label	query
0_1_1	1	select course.course_id,course.title from course
0_1_2	1	select course_id from course
0_1_3	1	select distinct course_id,title from course
0_1_4	1	select course_id,title from course
0_2_1	2	select course_id,title from course where dept_name='comp. sci.'
0_2_2	2	select distinct course.course_id,course.title from course where course.dept_name='comp. sci.'
0_2_3	2	select course.course_id,course.title from course where dept_name='comp. sci.'
0_2_4	2	select course_id,title from course where course.dept_name = 'comp. sci.'
0_2_5	2	select course_id,title from course where course.dept_name='comp. sci.'
0_2_6	2	select * from course where dept_name = 'comp. sci.'
0_2_7	2	select course_id,title from course where dept_name = 'comp. sci.'
0_2_8	2	select course_id,title from department,course where department.dept_name = course.dept_name and department.dept_name = 'comp. sci.'
0_2_9	2	select course.course_id,course.title from course where dept_name = 'comp. sci.'
0_2_10	2	select course.course_id,course.title from course where course.dept_name = 'comp. sci.'
0_3_1	3	select course_id,title,id from course natural join instructor natural join teaches where semester = 'spring' and year = 2010
0_3_2	3	select course.course_id,course.title,teaches.id from course,teaches where course.course_id = teaches.course_id and teaches.year = 2010 and teaches.semester = 'spring'
0_3_3	3	select course.course_id,title,id from course join teaches on course.course_id = teaches.course_id and teaches.semester = 'spring' and teaches.year = '2010'
0_3_4	3	select teaches.course_id,title,id as professor_id,semester from teaches,course where teaches.course_id = course.course_id and semester = 'spring' and year = '2010'
0_3_5	3	select course.course_id,course.title,id from course natural join teaches where semester = 'spring' and year = 2010
0_3_6	3	select course.course_id,title,id from course,teaches where semester='spring' and year='2010' and teaches.course_id=course.course_id
0_3_7	3	select teaches.course_id,title,id from teaches,course where semester = 'spring' and year = 2010 and teaches.course_id = course.course_id
0_3_8	3	select teaches.course_id,course.title,teaches.id from teaches,course where course.course_id=teaches.course_id and teaches.year='2010' and teaches.semester='spring'
0_3_9	3	select section.course_id,course.title,teaches.id from section,course,teaches where section.course_id = teaches.course_id and section.sec_id = teaches.sec_id and section.semester = teaches.semester and section.year = teaches.year and section.course_id = course.course_id and section.semester = 'spring' and section.year = 2010
0_3_10	3	select course.course_id,course.title,teaches.id from course,teaches where teaches.course_id=course.course_id and teaches.semester='spring' and teaches.year='2010'
0_3_11	3	select distinct course.course_id,course.title,teaches.id from course,section,teaches where course.course_id = section.course_id and section.course_id = teaches.course_id and section.sec_id = teaches.sec_id and section.year = teaches.year and section.semester = teaches.semester and section.semester = 'spring' and section.year = 2010
