id	label	query
121	1	SELECT next_unread_notifications_fetch_param FROM account_status
28	1	SELECT read_low_notifications_summary FROM account_status
37	1	SELECT cover_photo_spec FROM account_status
41	1	SELECT next_unread_low_notifications_fetch_param FROM account_status
56	1	SELECT unviewed_notifications_count, has_unread_notifications, last_viewed_notification_version, cover_photo_spec, people_view_notification_count FROM account_status
68	1	SELECT people_last_update_token FROM account_status
77	1	SELECT next_read_low_notifications_fetch_param FROM account_status
14	1	SELECT next_read_notifications_fetch_param FROM account_status
17	1	SELECT unviewed_notifications_count, last_viewed_notification_version FROM account_status
21	1	SELECT unread_low_notifications_summary FROM account_status
101	2	SELECT activity_id, modified, data_state FROM activities WHERE activity_id IN (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)
13	1	SELECT people_view_notification_count FROM account_status
134	2	SELECT activity_id FROM activities WHERE activity_id IN (?)
15	2	SELECT token, stream_token FROM activities_stream_view WHERE (stream_key=?) ORDER BY sort_index ASC LIMIT 1
2	2	SELECT activity_id, modified, data_state FROM activities WHERE activity_id IN (?)
29	2	SELECT 2147483647 AS _id, 0 AS row_type, activity_id, author_id, name, avatar, plus_one_data, total_comment_count, loc, created, event_data, event_type, whats_hot, content_flags, activity_flags, annotation, title, original_author_id, original_author_name, original_author_avatar_url, comment, last_activity, source_name, square_update, square_reshare_update, social_friends_plus_oned, relateds, embed, embed_deep_link, embed_appinvite, source_id, promo, domain, explanation_activity_id, birthday, author_annotation, acl_display, permalink, num_reshares FROM activities_stream_view WHERE (stream_key=?) AND ((activity_flags&64)=0) ORDER BY sort_index ASC
45	2	SELECT unique_activity_id, modified, data_state FROM activities WHERE unique_activity_id IN (?)
47	2	SELECT activity_id FROM activity_streams WHERE stream_key=? ORDER BY sort_index ASC LIMIT 20
48	2	SELECT 2147483647 AS _id, 0 AS row_type, activity_id, acl_display, author_id, name, avatar, total_comment_count, plus_one_data, loc, created, source_id, source_name, data_state, content_flags, activity_flags, annotation, title, original_author_id, original_author_name, permalink, square_update, square_reshare_update, social_friends_plus_oned, whats_hot, relateds, num_reshares, embed, embed_deep_link, embed_appinvite, domain, birthday, original_activity_url FROM activity_view WHERE (activity_id=?)
53	2	SELECT plus_one_data FROM activities WHERE activity_id=?
55	2	SELECT embed_appinvite FROM activities WHERE activity_id=?
65	2	SELECT 2147483647 AS _id, 0 AS row_type, activity_id, author_id, name, avatar_url, plus_one_data, total_comment_count, loc, created, content_flags, activity_flags, annotation, title, original_author_id, original_author_name, original_author_avatar_url, original_comment_count, comment, last_activity, source_name, square_update, square_reshare_update, relateds, embed, embed_deep_link, embed_appinvite, source_id, payload, domain, birthday, author_annotation, acl_display, num_reshares, original_activity_id, context_specific_data, promoted_post_data, unique_activity_id, i_data FROM activities_stream_view WHERE stream_key=? AND (activity_flags&64=0) ORDER BY sort_index ASC
72	2	SELECT token, stream_token, server_timestamp FROM activities_stream_view WHERE stream_key=? ORDER BY sort_index ASC LIMIT 1
78	2	SELECT event_id, polling_token, resume_token, event_data, event_type FROM events WHERE end_time > ? AND start_time < ?
91	2	SELECT unique_activity_id FROM activity_streams WHERE stream_key=? ORDER BY sort_index ASC LIMIT 6
114	3	SELECT duration FROM metrics WHERE uri = ?
115	3	SELECT uri FROM metrics
120	3	SELECT hit_id, hit_string FROM hits2 ORDER BY hit_id ASC LIMIT 40
20	3	SELECT uri FROM metrics WHERE uri = ?
32	3	SELECT attempts FROM metrics WHERE uri = ?
4	3	SELECT rowid, event_data FROM analytics_events
42	3	SELECT analysis_completed FROM metrics WHERE uri = ?
5	3	SELECT metrics FROM metrics WHERE uri = ?
73	3	SELECT event_data FROM analytics_events
82	3	SELECT metrics, version FROM metrics WHERE uri = ?
92	3	SELECT hit_id, hit_time, hit_url FROM hits2 ORDER BY hit_url ASC, hit_id ASC LIMIT 40
79	4	SELECT profile_proto FROM profiles WHERE profile_person_id=?
1	4	SELECT _id, 2 AS row_type, author_id, name, avatar, comment_id, content, created, plus_one_data, comment_flags FROM comments_view WHERE (activity_id=?) ORDER BY created ASC
123	4	SELECT name, avatar_url FROM activity_contacts WHERE gaia_id=?
10	4	SELECT circles.circle_id AS circle_id, circle_name FROM circles ORDER BY show_order ASC, sort_key
107	4	SELECT circles.rowid AS _id, circles.circle_id AS circle_id, circle_name, contact_count, volume, notifications_enabled FROM circles WHERE (type IN (1,-1) AND circle_id NOT IN ('v.all.circles','v.whatshot','v.nearby')) ORDER BY show_order ASC, sort_key
108	4	SELECT last_updated_time FROM contacts WHERE person_id=?
113	4	SELECT gaia_id, avatar FROM contacts WHERE (gaia_id IN (?)) ORDER BY sort_key, UPPER(name)
116	4	SELECT profile_state, name, profile_type FROM contacts WHERE person_id=?
126	4	SELECT person_id, last_updated_time FROM contacts WHERE person_id IN (?)
132	4	SELECT contacts.rowid AS _id, gaia_id FROM contacts WHERE (blocked=1) ORDER BY sort_key, UPPER(name)
16	4	SELECT circle_id, circle_name, type, contact_count, semantic_hints, volume FROM circles
25	4	SELECT gaia_id, group_concat(link_circle_id, '|') AS packed_circle_ids FROM contacts LEFT OUTER JOIN circle_contact ON ( circle_contact.link_person_id = contacts.person_id) WHERE (in_my_circles=1) GROUP BY person_id ORDER BY sort_key, UPPER(name)
26	4	SELECT gaia_id, name, avatar, in_my_circles FROM contacts WHERE gaia_id = ?
30	4	SELECT gaia_id, avatar FROM contacts WHERE (in_my_circles=1) ORDER BY sort_key, UPPER(name)
31	4	SELECT circles.circle_id AS circle_id, circle_name, contact_count, for_sharing, volume, notifications_enabled FROM circles WHERE (type IN (1,-1)) ORDER BY show_order ASC, sort_key
33	4	SELECT circles.circle_id AS circle_id, type, contact_count FROM circles WHERE (semantic_hints&8=0) ORDER BY show_order ASC, sort_key
36	4	SELECT name, last_updated_time, profile_proto FROM contacts LEFT OUTER JOIN profiles ON (contacts.person_id=profiles.profile_person_id) WHERE (person_id=?) ORDER BY sort_key, UPPER(name)
52	4	SELECT person_id FROM contacts WHERE blocked=1
54	4	SELECT contacts.person_id AS person_id, name, contact_proto FROM contacts LEFT OUTER JOIN profiles ON (contacts.person_id=profiles.profile_person_id) WHERE (person_id IN (?)) ORDER BY sort_key, UPPER(name)
6	4	SELECT gaia_id, avatar FROM contacts WHERE gaia_id=?
63	4	SELECT circle_id, circle_name, type, contact_count, semantic_hints, volume, for_sharing FROM circles
69	4	SELECT contacts.person_id AS person_id, name, contact_proto FROM contacts LEFT OUTER JOIN profiles ON (contacts.person_id=profiles.profile_person_id) WHERE (person_id IN (?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?)) ORDER BY sort_key, UPPER(name)
75	4	SELECT person_id, last_updated_time FROM contacts WHERE in_my_circles!=0
84	4	SELECT contacts.person_id AS person_id, last_updated_time, (CASE WHEN person_id IN (SELECT link_person_id FROM circle_contact WHERE link_circle_id IN (SELECT circle_id FROM circles WHERE for_sharing != 0)) THEN 1 ELSE 0 END) AS for_sharing FROM contacts WHERE (in_my_circles=1 AND profile_type!=2 AND for_sharing!=0) ORDER BY sort_key, UPPER(name)
94	4	SELECT contacts.person_id AS person_id, name, contact_proto FROM contacts LEFT OUTER JOIN profiles ON (contacts.person_id=profiles.profile_person_id) WHERE (person_id IN (?,?,?,?,?,?)) ORDER BY sort_key, UPPER(name)
98	5	SELECT _id FROM location_queries ORDER BY _id DESC
103	5	SELECT photo_id FROM all_tiles WHERE view_id='notification:CgxncGx1c19waG90b3MaFENPTVBPU0lUSU9OLzUzNTgwMTM1'
112	5	SELECT DISTINCT view_id FROM all_tiles WHERE view_id LIKE 'album:%' AND media_attr & 512 != 0
128	5	SELECT DISTINCT cluster_id, title, subtitle, cluster_count, media_attr FROM all_tiles WHERE view_id = 'best' AND type = 2 AND view_order > 50100 ORDER BY view_order
44	5	SELECT DISTINCT timestamp FROM all_tiles WHERE image_url = ? AND type = 4
46	5	SELECT photo_id FROM all_tiles WHERE view_id='notification:CgxncGx1c19waG90b3MaEzU2NzkxNzA1ODM4MTQ2NDM3OTM'
49	5	SELECT photo_id FROM all_tiles WHERE view_id='notification:CgxncGx1c19waG90b3MaEzU5MDQ5Nzk3NTQ1MDcyMzYwMTc'
50	5	SELECT _id FROM all_tiles WHERE view_id = ? AND tile_id = ?  AND media_attr & 512 != 0
58	5	SELECT data, refresh_timestamp FROM stories WHERE story_id=?
59	5	SELECT DISTINCT view_id FROM all_tiles WHERE view_id LIKE 'notification:%'
60	5	SELECT DISTINCT content_url FROM all_tiles WHERE media_attr & 4194304 != 0
61	5	SELECT photo_id FROM all_tiles WHERE view_id='notification:CgxncGx1c19waG90b3MaEzU5MDI1MDczNDIxNTYxMTQ1NjE'
62	5	SELECT photo_id FROM all_tiles WHERE view_id='notification:CgxncGx1c19waG90b3MaEzYwNTE5OTk5MjU1MzMxMjE4NTc'
81	5	SELECT resume_token, last_refresh_time FROM tile_requests WHERE view_id = ?
